chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
BA,2021-01-15,220.0000,call,buy,2020-12-28T20:57:53.730800Z,debit,1.00000,limit,long_call_spread,,0.95000000,1.00000
CHWY,2020-12-31,95.0000,call,buy,2020-12-28T18:43:45.769592Z,debit,1.00000,limit,long_call_spread,,0.57000000,1.00000
CHWY,2020-12-31,96.5000,call,sell,2020-12-28T18:43:45.769592Z,debit,1.00000,limit,long_call_spread,,0.57000000,1.00000
PLTR,2021-01-08,29.0000,call,buy,2020-12-28T17:59:27.802281Z,debit,1.00000,limit,long_call,,0.74000000,1.00000
PLTR,2021-01-08,24.0000,put,sell,2020-12-28T17:52:31.978063Z,credit,1.00000,limit,short_put,,0.62000000,1.00000
CRSR,2021-01-15,35.0000,put,sell,2020-12-28T16:38:05.543564Z,credit,1.00000,limit,short_put,,1.58000000,1.00000
AMZN,2020-12-31,3290.0000,call,sell,2020-12-28T16:02:13.248216Z,credit,1.00000,limit,,long_call_spread,1.40000000,1.00000
AMZN,2020-12-31,3300.0000,call,buy,2020-12-28T16:02:13.248216Z,credit,1.00000,limit,,long_call_spread,1.40000000,1.00000
FB,2020-12-31,267.5000,call,buy,2020-12-28T15:50:28.803107Z,credit,1.00000,limit,,long_call_spread,2.00000000,1.00000
FB,2020-12-31,265.0000,call,sell,2020-12-28T15:50:28.803107Z,credit,1.00000,limit,,long_call_spread,2.00000000,1.00000
AAPL,2021-01-22,126.0000,call,buy,2020-12-28T15:50:04.847312Z,credit,4.00000,limit,,long_call_spread,0.78000000,4.00000
AAPL,2021-01-22,125.0000,call,sell,2020-12-28T15:50:04.847312Z,credit,4.00000,limit,,long_call_spread,0.78000000,4.00000
JNPR,2020-12-31,23.0000,call,sell,2020-12-28T15:28:31.769484Z,credit,2.00000,limit,,long_call,0.34000000,2.00000
PTON,2020-12-31,175.0000,call,sell,2020-12-28T15:19:47.970255Z,credit,3.00000,limit,,long_call,0.19000000,3.00000
PLTR,2021-01-22,40.0000,call,buy,2020-12-28T14:40:05.002111Z,debit,1.00000,limit,long_call,,0.48000000,1.00000
FB,2020-12-31,267.5000,call,sell,2020-12-24T17:52:38.344679Z,debit,1.00000,limit,long_call_spread,,1.40000000,1.00000
FB,2020-12-31,265.0000,call,buy,2020-12-24T17:52:38.344679Z,debit,1.00000,limit,long_call_spread,,1.40000000,1.00000
PTON,2020-12-31,175.0000,call,buy,2020-12-24T17:45:25.446972Z,debit,1.00000,limit,long_call,,1.15000000,1.00000
DKNG,2021-01-15,60.0000,call,buy,2020-12-24T17:36:33.230472Z,debit,1.00000,limit,long_call,,1.20000000,1.00000
PTON,2020-12-31,175.0000,call,buy,2020-12-24T17:14:07.892116Z,debit,1.00000,limit,long_call,,1.63000000,1.00000
FB,2020-12-31,272.5000,call,buy,2020-12-24T15:57:01.217187Z,credit,1.00000,limit,,long_call_spread,0.79000000,1.00000
FB,2020-12-31,270.0000,call,sell,2020-12-24T15:57:01.217187Z,credit,1.00000,limit,,long_call_spread,0.79000000,1.00000
PTON,2020-12-31,175.0000,call,buy,2020-12-24T15:25:10.822887Z,debit,1.00000,limit,long_call,,1.65000000,1.00000
