ref_id,chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
45ea8af4-f9ab-497c-b5d4-fbbf8beac489,FB,2020-12-31,272.5000,call,buy,2020-12-23T18:11:04.464538Z,debit,1.00000,limit,long_call,,4.00000000,1.00000
ccac0ba0-8637-4f62-bcb8-52a7c455c739,AAPL,2021-01-22,125.0000,call,buy,2020-12-23T17:15:20.611773Z,debit,2.00000,limit,long_call_spread,,0.73000000,2.00000
ccac0ba0-8637-4f62-bcb8-52a7c455c739,AAPL,2021-01-22,126.0000,call,sell,2020-12-23T17:15:20.611773Z,debit,2.00000,limit,long_call_spread,,0.73000000,2.00000
c7f3a958-f8aa-475c-beb9-b56f6a56bf8e,FB,2021-01-15,280.0000,call,sell,2020-12-23T17:09:07.190722Z,credit,1.00000,limit,,long_call,5.10000000,1.00000
73daf515-f629-4387-ba79-8ae983d43763,FB,2021-01-15,280.0000,call,sell,2020-12-23T17:08:34.886767Z,credit,1.00000,limit,,long_call,5.10000000,1.00000
0dc92258-1adb-430c-b4a2-ad2f0edc7ac3,FB,2021-01-15,280.0000,call,buy,2020-12-23T17:07:14.416609Z,debit,1.00000,limit,long_call,,5.15000000,1.00000
70f24411-5b38-49d9-878b-16f2341b704c,NVDA,2020-12-24,532.5000,call,buy,2020-12-23T16:55:01.469623Z,debit,1.00000,limit,long_call,,1.02000000,1.00000
11190DAF-028F-4469-80C0-0966D5AB42D6,SFIX,2020-12-24,68.0000,put,sell,2020-12-23T16:23:39.045539Z,credit,2.00000,limit,,long_put,0.35000000,2.00000
B1D76013-0199-473C-9AB6-CF10EEA74644,SFIX,2020-12-24,68.0000,put,buy,2020-12-23T16:21:35.066202Z,debit,1.00000,limit,long_put,,0.47000000,1.00000
B2669330-DF52-4FB0-95F2-B6D3B3B72A23,ROKU,2020-12-24,380.0000,call,buy,2020-12-23T16:07:37.071342Z,debit,1.00000,limit,long_call,,0.34000000,1.00000
DE1B144E-B947-4BEC-94C2-46E86706A6F9,PLUG,2020-12-31,38.0000,call,buy,2020-12-23T15:47:34.480688Z,debit,1.00000,limit,long_call,,1.00000000,1.00000
A2760EBD-8D66-4FBC-AA38-9B4AD6EEEBD5,PLUG,2020-12-31,38.0000,call,sell,2020-12-23T15:30:23.772616Z,credit,1.00000,limit,,long_call,1.21000000,1.00000
C7184BD8-031B-4808-922B-805AEBAB178B,SFIX,2020-12-24,68.0000,put,buy,2020-12-23T15:24:52.373280Z,debit,1.00000,limit,long_put,,0.97000000,1.00000
7CB0244E-1DDF-4A1E-A6D3-A5E49538A2D4,BA,2020-12-31,220.0000,call,sell,2020-12-23T15:01:15.083468Z,credit,1.00000,limit,,long_call_spread,1.30000000,1.00000
7CB0244E-1DDF-4A1E-A6D3-A5E49538A2D4,BA,2020-12-31,222.5000,call,buy,2020-12-23T15:01:15.083468Z,credit,1.00000,limit,,long_call_spread,1.30000000,1.00000
B40BF0AD-4E29-4A92-9191-611D15D825F7,PLUG,2020-12-31,38.0000,call,buy,2020-12-23T14:51:23.827766Z,debit,1.00000,limit,long_call,,1.12000000,1.00000
947DACEB-88E6-4624-8948-CE326808AFE0,ZM,2020-12-31,445.0000,call,sell,2020-12-23T14:35:38.682179Z,credit,1.00000,limit,,long_call_spread,0.10000000,1.00000
